"Tumor","psi_1_mean","psi_1_lower","psi_1_upper","psi_2_mean","psi_2_lower","psi_2_upper","psi_3_mean","psi_3_lower","psi_3_upper","X_mean","X_lower","X_upper","N_mean","N_lower","N_upper","phi_mean","phi_lower","phi_upper"
"TARGET.30.PAPVXS.01A",0.265607400519785,0.187438056604376,0.359057886958002,0.467214797262386,0.294294101038757,0.607168840922662,0.267177802217829,0.194803033981559,0.35786498048428,0.33498320956514,0.300510539050039,0.377823221327045,17.8866440588175,12.3904120282097,23.3456512523387,0.558896104091999,0.459423345720099,0.704569551032191
"TARGET.30.PAPWUC.01A",0.201267026684414,0.137979383960999,0.291656752266185,0.548631513791878,0.367432415358627,0.663968711774915,0.250101459523708,0.184329264106198,0.35651843247194,0.344183831058081,0.306362911593614,0.433599804801016,23.1712190415504,12.5853532951679,32.7481935216797,0.599806083718193,0.474311184790788,1.00945405324907
"TARGET.30.PAPZFW.01A",0.212849597862104,0.151843908837861,0.284680775506696,0.421883694742738,0.275081972603023,0.544188870447184,0.365266707395159,0.289318056413507,0.455414585015996,0.335868944051316,0.309447220014233,0.365386430741428,20.1424257360447,15.3856335075265,25.6988960175816,0.558965301249129,0.48233944102409,0.656099937282731
"TARGET.30.PAPZYP.01A",0.239688678994169,0.205876154444834,0.274247697266322,0.472427609737112,0.41829128789017,0.525535109041833,0.287883711268719,0.248698148750366,0.329442761083725,0.232337369514655,0.217512286705731,0.248815399024095,18.7036590929762,15.645360032072,21.6871557532703,0.312660263498474,0.285486520772743,0.344209983805932
"TARGET.30.PAPZYZ.01A",0.288427144544006,0.249690291727639,0.330053298864022,0.459807425997443,0.398059226933174,0.515820115197461,0.25176542945855,0.213644222439667,0.291975486075447,0.276675714160798,0.26276414057318,0.293719028802391,24.2764360403107,19.6995425453122,28.7494973957417,0.403307076301276,0.372776632354333,0.442684460644116
"TARGET.30.PARABN.01A",0.209414533310357,0.173826998414709,0.245414195511945,0.54020472082715,0.483169559106868,0.595370670214738,0.250380745862492,0.212607129144187,0.289127694725574,0.240928101385112,0.224373215244845,0.25915434945547,19.8249407889599,16.2521211004219,23.3573949608484,0.329039597731464,0.297780188504862,0.365225912159104
"TARGET.30.PARACM.01A",0.101391204354999,0.0680880749092255,0.138008679665813,0.26607889740673,0.16600449405126,0.360700541598706,0.632529898238271,0.556228194301281,0.712993216851272,0.349516870314841,0.333367985957338,0.365296974724654,23.2982025337278,19.4874925179842,27.6494576243408,0.60113798728089,0.549410113029763,0.655767777969222
"TARGET.30.PARACS.01A",0.297911847471175,0.263063881838659,0.334687987351648,0.427663380499425,0.374865114677731,0.479674326814299,0.2744247720294,0.238650405234045,0.313093948396262,0.249541327536564,0.236738315816436,0.263348909071414,21.7810808361797,18.3841642199038,25.3025317774561,0.345839342067757,0.320729782022518,0.374010616101243
"TARGET.30.PARAHE.01A",0.314677075992342,0.267193129858279,0.369952230307115,0.441541539338735,0.348237309406065,0.518929589503049,0.243781384668923,0.196649940682701,0.295178962595523,0.286871959769008,0.2676116322024,0.311867242301862,20.5330655156761,16.1600991940577,24.9629013051822,0.427072562360261,0.383099063603345,0.488730114052451
"TARGET.30.PARAMT.01A",0.213842801984784,0.173265456121593,0.263188381820755,0.489009648180549,0.382885885715148,0.564723272648596,0.297147549834667,0.246113621628548,0.364994978808593,0.287440023944165,0.2659271982149,0.320340026680055,20.3403160619398,14.9048935798014,25.2644779393609,0.428778838170509,0.379487956411212,0.511771035652467
